id,created_at,username,lang,text
489440711927152640,2014-07-16 16:05:33,sianyjd86,en,Don't think the effort it took to get back on Twitter was worth it  #effort #pissedoff
489440511326158848,2014-07-16 16:04:45,IamOfentsev,en,Feed a child ad where this white Lady feeds a black child like a dog its not funny its plain racist 
489438796015239168,2014-07-16 15:57:56,DjSheperz,en,@Boadicea51 Yes I suppose. Have you read the Lisbon Treaty??? It means we can't just leave on a ref. we need 18/27 others to agree. 
489438498806444032,2014-07-16 15:56:46,tejasG53,en,@luckytan9 Obb :D Chal bye. gtg. Dinner. Was in a trance. Now suddenly  and whoa.... #hungry!!! :D
489436518956945408,2014-07-16 15:48:54,Sophiasogood,en,"@herefordunited1 has been totally ruined in 4 years, letting down players, staff, @HfdsCouncil, HMRC, creditors &amp; fans,@BullsNewsBlog "
489435156210802688,2014-07-16 15:43:29,BeccaaLouise__x,en,Being lied to is something I don't forgive!  #thoughtyouknewbetter
489434846767218688,2014-07-16 15:42:15,paulmendozam,en,#happy #tuesday  http://t.co/w0q5GPv9m6
489433815933521920,2014-07-16 15:38:09,_Khaleesi_3,en,Thanks @AmericanAir for leaving us without our bags for second time in less than 2 months.  #neveragain
489432990976446464,2014-07-16 15:34:52,FelsteadJordan,en,This would be me in the western days #drunk  http://t.co/ofM158G2Pe
489432298660429824,2014-07-16 15:32:07,kaitlyncarter__,en,RT @deadinside1618: How I look when someone insults my friends  #andybiersack @ChrisABiersack @AndyBVB http://t.co/zA1LXCBiun
489431424270098433,2014-07-16 15:28:39,BlackVeilBot,en,RT @deadinside1618: How I look when someone insults my friends  #andybiersack @ChrisABiersack @AndyBVB http://t.co/zA1LXCBiun
489431207705206784,2014-07-16 15:27:47,deadinside1618,en,How I look when someone insults my friends  #andybiersack @ChrisABiersack @AndyBVB http://t.co/zA1LXCBiun
489431023760203776,2014-07-16 15:27:03,shanjai007,en,"When I Got  3:) 
I Start Seeing His #Performance :D ;) — watching Glenn Maxwell 95 vs CSK"
489428600571965440,2014-07-16 15:17:26,ohveryspecial,en,Drowning my sorrows in a second cup of office coffee.  #coffee
489427565266747393,2014-07-16 15:13:19,krystulover,en,Lights went off can't watch ENP:-( #sad  #enp #bored @EkNayiPehchaan @SonyTV @krystledsouza @poonamdhillon @nazea23 @KaranSharma206
489427312497405954,2014-07-16 15:12:19,J_Ouat,en,To Flip Out or Not to Flip Out. That's the Question!  #byefelicia #paris #attitude #life
489425015168053248,2014-07-16 15:03:11,pennybingo,en,New Blog! £5 Free At Brand New Angry Bingo http://t.co/zSNkDrEft4 #freebingo  bingo
489424304317411330,2014-07-16 15:00:21,amyinapeartreee,en,been charged way over my contract by @EE because someone decided to leave me voicemails that I didn't listen to while in Turkey!! 
489423454677266433,2014-07-16 14:56:59,SamGarabateito,en,#Voices #film. Why so #serious ()? http://t.co/6cfn2Ycy6p
489422691641090048,2014-07-16 14:53:57,charlieflatt,en,This perfectly sums up how I feel right now  http://t.co/pbtOyX6nay
489422614616477696,2014-07-16 14:53:39,MIunderstanding,en,"RT @daily_parenting: Struggling with your child's  and #aggressive behaviors? Want to learn how to respond in a #calm, loving way? ht…"
489422384429273089,2014-07-16 14:52:44,Michhloredo,en,I'm not in the greatest mood right now. #hungry #tired 
489422032967192576,2014-07-16 14:51:20,versaphotovic,en,Can't deliver anything online until my internet service is restored  #noservice #chrages #dispute
489421897810337792,2014-07-16 14:50:48,princessrose187,en,Honestly dunno what to do :( Love my princess so much and it kills me that this is even an issue  #Upset #Disappointed
489420849003241473,2014-07-16 14:46:38,Huniidew,en,Rough poem #poem #sad  #ihateschool http://t.co/WSfoiaU7RN
489420830104092672,2014-07-16 14:46:33,frankiefriggs,en,"#throwback to yesterday.. My ""i missed the ferry"" selfie.  #selfie #malta #gozo #ferry… http://t.co/kyXvAsHdA5"
489420751942848512,2014-07-16 14:46:14,Robs_au,en,Oops it was #outrage I called. MT @Robs_au: A #RAGING peloton #sbstdf #sherliggettisms @SherLiggettisms C'mon I called  last time.
489420623278776321,2014-07-16 14:45:44,TeenyC87,en,I'm getting real sick of redoing my work because other people are irresponsible.  #frustrated #work #grump
489420454797406208,2014-07-16 14:45:04,Robs_au,en,A #RAGING peloton #sbstdf #sherliggettisms @SherLiggettisms C'mon I called  last time.
489419524706672640,2014-07-16 14:41:22,titahsmilley_jb,en,"The little pricks,he plays with my feelings "
489419261258268672,2014-07-16 14:40:19,daily_parenting,en,"Struggling with your child's  and #aggressive behaviors? Want to learn how to respond in a #calm, loving way? http://t.co/D7qTBWm8uj"
489418738773815296,2014-07-16 14:38:14,Alvitis,lv,RT @BestVinesLatvia: K. Daugaviņš angry about the judges lame #hockey #IIHF #IIHFLAT #IIHFBLR  #rage https://t.co/XL8VNm8cje
489418214519345152,2014-07-16 14:36:09,Angrycomicgirl,en,Sometimes i wish i was alone and just settled with just that. these are my angry thoughts at the moment feels #annoyed #letmebe
489417799484579841,2014-07-16 14:34:31,cnr_bilge,en,#me #rightnow  #stupidhumans #dont #serious #cat #vine #lol #feelings #todaysinspiration 😒 http://t.co/FGVxaKoVxf
489417327352745984,2014-07-16 14:32:38,ZLN_93,en,@ThreeUK have done nothing but caused me grief over the last week. Why is it so hard to transfer a contract into my name?!  😡😡
489414286599393280,2014-07-16 14:20:33,X_Ake_,en,Level that life up http://t.co/8eg9tlwpHU via @Twitch #RogueLegacy 
489413778946011136,2014-07-16 14:18:32,JuliaHart923,en,@wickedm I'm not gonna bitch anymore about it. I just had to get it out. She broke the glass on a painting today slamming the wall.
489413674168090624,2014-07-16 14:18:07,sushibaybeh,en,I'm tired of being in pain #gr #gr #gr 
489413230796619776,2014-07-16 14:16:21,fairyhaein,en,"You took a day with my cousins away from me, and you should feel guilty. I tried not to, but you made me cry. #YouSuck #tears #mad "
489412735583539200,2014-07-16 14:14:23,enav2388,en,The fact that i have to work inside on a beautiful day like today is making me want to bang my head against a wall 😫 #perfectweather 
489410420508467201,2014-07-16 14:05:11,IAmKaraokeboy,en,Emotional. #Real #True #Loving #Loyal #Strong  #Caring #Valencia http://t.co/U7vnWw9kmR
489410134696017920,2014-07-16 14:04:03,PowerFineWines,en,"@AodhBC @ISPCA1 He is , they say! #Jonathan may well be a member of the #leavedolphinsalone front! @WdFoodFestival @ilovewaterford"
489409615264628736,2014-07-16 14:01:59,IAmKaraokeboy,en,Emotional. #Real #True #Loving #Loyal #Strong  #Caring #NoFilter http://t.co/1tFTg1obOJ
489409397479981056,2014-07-16 14:01:07,NewGlitterati,en,I think they know we're leaving for vaca....  #needy #smalltroubledcat #sushicat http://t.co/BSCpLcWstm
