id,created_at,username,lang,text
818632144079753218,2017-01-10 01:34:47,eMorToL,ro,@LomaxKJL 5$ mate come kyzarhs here
818632059581243392,2017-01-10 01:34:27,stephanooghtie,en,SOLEMNITY PERSONETTI NOSED FOR CHRISSIE CLARE MADLAIN 1
818631987594493953,2017-01-10 01:34:09,MrLix,en,@MORTENEYE JUST YEW AND A BUNCH OF MONGS LOOKING AT YO TWATTER FEED
818631979662970884,2017-01-10 01:34:08,eMorToL,en,need 1 for smite $10s
818631970896969730,2017-01-10 01:34:05,GetHammeredFP,en,@andy66miller thanks mate
818631933487906816,2017-01-10 01:33:57,070bethnallord,pl,Zesralam sie https://t.co/RzHKPWsJod
818631921064443905,2017-01-10 01:33:54,mmussirah,und,@isthatscully kmt
818631912294141952,2017-01-10 01:33:51,emiliec1004,en,edward cullen. ur welcome x
818631891679068164,2017-01-10 01:33:47,_hayze,en,Minion https://t.co/DzOY1QBOnT
818631878341181441,2017-01-10 01:33:43,stephanooghtie,en,HARPES WAILS ! AROONATIES !
818631857969500166,2017-01-10 01:33:39,GetHammeredFP,en,@msmithwhu thanks mate
818631829439782912,2017-01-10 01:33:32,GetHammeredFP,en,@BHaasTSD thanks mate
818631825115541504,2017-01-10 01:33:31,mmussirah,en,Will I be able to wake up at 8 2morrow
818631793809231881,2017-01-10 01:33:23,ChrisBaileyLdn,en,"Bonkers &amp; despicable-but great to find something Corbyn and Stephen Kinnock agree on, should deselect both -what ne… https://t.co/5qaJZtWQAg"
818631732136181761,2017-01-10 01:33:09,kyrstie,en,So good to see you tonight kellyballett. Let's do it again soon. Missed you 😘 #oldfriends… https://t.co/M9jkRXP074
818631717800079360,2017-01-10 01:33:05,sbainsxx,nl,@ruhinasadique @Murray_Burnell @BBCLondonNews Liverpool Street wtaf
818631705892454401,2017-01-10 01:33:02,CFJohn,en,Trying to Get back to sleep
818631693846376448,2017-01-10 01:32:59,EmeliaMensahC,en,"how is her mum still slapping her, I'm so tired https://t.co/22k8hgRFvF"
818631691988307968,2017-01-10 01:32:59,kawaiisolemia,en,"Spotify, and... night! ヽ(´▽｀)/"
818631657729196032,2017-01-10 01:32:51,stephanooghtie,en,HEARS !
818631651563569155,2017-01-10 01:32:49,Ericlkalb,en,What will be the next game cancelled by Microsoft? My bet is on Crackdown 3 or Cuphead.
818631604591591424,2017-01-10 01:32:38,stephanooghtie,en,HOW DO SUBMARINES TALK TO EACH OTHER PING ?
818631554993885185,2017-01-10 01:32:26,kawaiisolemia,en,"I just woke up (fell asleep after dinner), but I'm heading to bed again. I slept only 2h last night @-@"
818631539919622144,2017-01-10 01:32:23,_hayze,en,I see the way you're acting like you're somebody else gets me frustrated🎶
818631485699870721,2017-01-10 01:32:10,sobia_ghafoor,en,It's so scary how easily I zone out
818631474094243840,2017-01-10 01:32:07,SplatterdHerbz,en,@Platini_954 shit bout to get real now ........😅
818631453340762112,2017-01-10 01:32:02,oli5via,en,@stephanie_okang tell em girl
818631420872720384,2017-01-10 01:31:54,_hayze,en,I see the way you're acting like you're somebody else gets me frustrated 🎶
818631405873799168,2017-01-10 01:31:51,kawaiisolemia,en,"This pain in the ear T-T I can't complain, though. I'm feeling so much better overall ^^"
818631336944664576,2017-01-10 01:31:34,kh_alhudaib96,en,"I'm at City of Westminster - @citywestminster in London, Greater London https://t.co/QauR6PnHGy"
818631286281609217,2017-01-10 01:31:22,VirtualJukebox,en,Que Sera Sera by Doris Day is #nowplaying in The Plough Bar &amp; Grill.
818631254631444480,2017-01-10 01:31:15,lola_webster,en,@yellerzz omg I didn't even know that!!! So she's disappeared bc now everyone hates her ?
818631251795976192,2017-01-10 01:31:14,trendinaliaGB,en,Trend Alert: 'Strowman'. More trends at https://t.co/do7Hdxwcnc #trndnl https://t.co/82snVv53Zw
818631246422999040,2017-01-10 01:31:13,trendinaliaGB,en,Trend Alert: #ShadowhuntersChat. More trends at https://t.co/do7Hdxwcnc #trndnl https://t.co/aEYtwdYKhl
818631216907816960,2017-01-10 01:31:06,Tanjuniorvergel,es,"Nacimos para ser felices, no para ser perfectos."
818631078676152320,2017-01-10 01:30:33,RendyWolf,en,"Happy to watch my favourite Disney theatre ""Alladin""! #enjoy #life #while #you #can #cuz… https://t.co/YxzeQXfdhW"
818631066256900096,2017-01-10 01:30:30,Tanjuniorvergel,es,Solo sale cuando se esconde el sol'
818631027597987841,2017-01-10 01:30:21,stephanooghtie,en,HOI CHIN SAUCES LITTLE RED RIDDING BOOK !
818631017036677120,2017-01-10 01:30:18,SethRollinsFans,en,"WWE Instagram Photo: After the chaos settled, #stephaniemcmahon made it official...#BraunStrowman vs. @wwerollins o… https://t.co/zIMVScSekb"
818630998757810177,2017-01-10 01:30:14,trendinaliaGB,en,"82 verified accounts helped to turn '""Simon""' into a Trending Topic. Some of them: @itvcorrie, @NandosUK &amp; @KTNKenya — #trndnl"
818630997105209344,2017-01-10 01:30:13,trendinaliaGB,en,"The tweet with the most impact of the '""Simon""' Trend, was published by @MashupTunes: https://t.co/Ewu1c6gIuZ (1820 RTs) #trndnl"
818630996337815552,2017-01-10 01:30:13,hannahclive,en,#HCHQ #TuesdayTitters Beware the penguinocalypse... 😂 @smcmagazine @IAMWARFACE @Xenakita @dude_fm @DrJimmyStar… https://t.co/FzZf2kYNYN
818630995771408384,2017-01-10 01:30:13,trendinaliaGB,en,"#Top3Apps for '""Simon""'

Twitter for iPhone 23%%
Twitter for Android 21%%
Twitter Web Client 21%%"
818630994198753281,2017-01-10 01:30:13,trendinaliaGB,en,"30,394,341 people could have seen '""Simon""' since its 1st mention until it became a Trending Topic. #trndnl"
818630992663412737,2017-01-10 01:30:12,trendinaliaGB,en,"17,120 users and 17,354 tweets (16002 RTs) in 3 months made '""Simon""' a Trending Topic in United Kingdom. #trndnl"
818630990780215296,2017-01-10 01:30:12,trendinaliaGB,en,"@ShadowPlotagon the 1st mention of '""Simon""' appears on your TL. Now is Trending Topic in United Kingdom! #trndnl"
818630986674094080,2017-01-10 01:30:11,NYStyleGuidecom,en,"Sibling runway show at London Fashion Week Men's 2017

#women #fashion #runway #designer #style… https://t.co/aRwkQziUiU"
818630966327578624,2017-01-10 01:30:06,Tanjuniorvergel,es,Mala fama buena vida.💥🔥
818630895435481088,2017-01-10 01:29:49,stephanooghtie,en,YOU MOI HOLLY BIBBLE OF NIECE CANNE FESTIVAL OPENER JAW CLARE !
818630895276068864,2017-01-10 01:29:49,ElmsteadWeather,en,"Wind 0.7 mph NW
Barometer 1008.4 mb,Falling slowly 
Temperature 3.3 .C 
Rain today 0.0 mm 
Humidity 99%%
@ 01:30:04.#ukweather.#weather"
818630892704985088,2017-01-10 01:29:48,kamzaki1,en,"malaysian women vs malaysian man (one is a public vote, one has more coverage) 🙄🇲🇾 @hnnkml https://t.co/EP7GbPGiMi"
818630796487643136,2017-01-10 01:29:25,Kamruluddin123,und,😂😂😂 - @moneyispowerr @jahedahmed4 https://t.co/m7IQZgYLg4
818630795317362688,2017-01-10 01:29:25,barrowman_angel,en,@muIderitsme your telling me i love this whole episode with her that shirt is one of my faves
818630785255272448,2017-01-10 01:29:23,anandaspirit,en,@toby_regbo @EmpireConv Real tears? 😂
818630774727606272,2017-01-10 01:29:20,LadyLoveLDN,en,Whilst trying to find George Michael Bare totally MIA... I found... my bag full of all my Wham! things @GeorgeMichael was asking for such 😭x
818630757505765376,2017-01-10 01:29:16,onlyt5gives,en,@__mayishaplease who's to argue
818630730649575424,2017-01-10 01:29:10,TrendsUK,en,"Simba_, @thecowboy263 is now trending in United Kingdom

https://t.co/wa93r1e7b0 https://t.co/QuQspPUhId"
818630714346323969,2017-01-10 01:29:06,mmussirah,en,@isthatscully is that even a word
818630686517133316,2017-01-10 01:28:59,Roytheboy1988,en,We got chairs woo raw slightly edger?  #RAW
818630657391951872,2017-01-10 01:28:52,peterallenvogt,en,@Pringles please send me all flavors you make in the WORLD! #merrypringles https://t.co/jfYYrePbXd
818630610067607552,2017-01-10 01:28:41,livfrankel,en,ignorance is B L I S S
818630597476319232,2017-01-10 01:28:38,Lewes_co_uk,en,"The Rights of Man #lewes #harveys #beer #madeinlewes #thomaspaine @ Lewes, East Sussex https://t.co/z1F8zAzdBb"
818630558624391168,2017-01-10 01:28:29,dj_fmc,en,@porksmith name the rower who fought for a trophy made of cotton and penis https://t.co/yZNRDTBrdN
818630491335061505,2017-01-10 01:28:13,trendinaliaLON,en,45%% of the London's Trends for Monday 9 were hashtags: https://t.co/cfcQqOtwhv #trndnl
818630307192705025,2017-01-10 01:27:29,LondonNetworker,en,"⚡ Londoners battle to get home during tube strike

https://t.co/b3EsNAwH63"
818630271918600193,2017-01-10 01:27:20,mmussirah,en,I think Kim ks so buff
818630237558743040,2017-01-10 01:27:12,trendinaliaGB,en,The largest number of Trends in United Kingdom for Monday 9 was at 19 hours: https://t.co/bwRG0cEoWX https://t.co/ChCiRgPbEl
818630222090149893,2017-01-10 01:27:09,trendinaliaGB,en,'Scalebound' just started trending with 43208 tweets. More trends at https://t.co/do7Hdxwcnc #trndnl
818630222077530112,2017-01-10 01:27:09,trendinalia,en,58%% of the Worldwide's Trends for Monday 9 were hashtags: https://t.co/LH2a2a7K78 #trndnl
818630220966076418,2017-01-10 01:27:08,trendinaliaGB,en,'Nicola' just started trending with 19331 tweets. More trends at https://t.co/do7Hdxwcnc #trndnl
818630131535200256,2017-01-10 01:26:47,mcortonscott,en,"Cecile Richards speaks to Christiane Amanpour✊🏼❤
Join the Labour bloc at #womensmarchlondon to make your voice hear… https://t.co/ZIno6Cwjdx"
818630127093510144,2017-01-10 01:26:46,Tanjuniorvergel,und,👍🏽 https://t.co/X8BKWkprJF
818630082256257024,2017-01-10 01:26:35,MoleNina,en,I so need these for next Christmas  🎄 😍😘😛☹️😟😶 @ Mersea Island https://t.co/jhwvnJI8yp
818630060441747456,2017-01-10 01:26:30,blanc_zachary,und,@TheOnlyBlackRay 🤘🏼🤘🏼🤘🏼
818630015290081282,2017-01-10 01:26:19,stephanooghtie,it,BE MY BIMBO BAMBI CLARE ?
818630013595582468,2017-01-10 01:26:19,charlieandchill,en,"📊 @ London, United Kingdom https://t.co/FLe0JnKrdq"
818629995924951040,2017-01-10 01:26:15,Ashton_Lawrence,en,Love at first sight 🍽 https://t.co/ilUXyCue35
818629988417032192,2017-01-10 01:26:13,trendinaliaGB,en,"Trend Alert: '""Simon""'. More trends at https://t.co/do7Hdxwcnc #trndnl https://t.co/sOnfSdOtgp"
818629983207821313,2017-01-10 01:26:12,anandaspirit,en,@RachieSkarsten Loved the buzzing energy you shared with us all! I could get high just being near you. You're amazing! #reignconvention
