id,created_at,username,lang,text
807572817696985088,2016-12-10 13:08:58,barrowman_angel,en,@CSRizzoli23 i'm currently sat at computer trying to find the get up and go to do some jobs ive gotta do
807572783957823489,2016-12-10 13:08:50,benniedenton,en,It's #saturday ....... @ London Motorway M1 https://t.co/VvXQmdPh74
807572770779435010,2016-12-10 13:08:47,thadboogie,en,Rockin @S_C_ Feat @mop_official ' Put It In The Air'  @ITCHFM #BigPromoShow https://t.co/ikhwSfTaCG
807572768183160833,2016-12-10 13:08:46,seenandheard2,und,#WMHD https://t.co/IyX1Ae9p3M
807572762604818433,2016-12-10 13:08:45,Imogen_Wheeler,en,"Idont think jade understands, ringing me at midday is literally like your 3am.
 I've had 4 hours sleep and I'm moodyyyy.."
807572760000131072,2016-12-10 13:08:44,AnnaSulan,en,Discussing the word 'collaboration' w French BF - in French its very negative! It donates the time of Vichy...
807572743906619392,2016-12-10 13:08:40,rodwey2004,en,Beautiful Bond St. #christmaslights #shoppers #telephonebox #newbondstreet #redtelephonebox… https://t.co/XD4PR044jV
807572731667607552,2016-12-10 13:08:37,sandradieckmann,en,COME SEE US at the @HackneyFlea today. We are at the @ovalspace till 6pm and again tomorrow.… https://t.co/nHTS41tQjR
807572723320967170,2016-12-10 13:08:35,lesthelion,en,@CasparQC I think you've got your knickers in a very hysterical twist. I think you should fuck off &amp; hand wring elsewhere Charmless enough?
807572721483862017,2016-12-10 13:08:35,JavierBlas2,en,#BREAKING: Non-OPEC Said to Join #OPEC in First Global #Oil Cuts in 15 Years https://t.co/Kvvjqghzu5 via @business… https://t.co/qHthzBzdJm
807572712730361856,2016-12-10 13:08:33,Kat_Yon,en,"Wedding fever at Camden Town Hall • December 10, 2016 #bffgettingmarried #camdentownhall #london… https://t.co/Btz4gEjdXD"
807572712256372736,2016-12-10 13:08:33,aimhurn,en,Jesse made me rock him and sing frozen songs to him until he fell asleep lol peak
807572693197422592,2016-12-10 13:08:28,Ellerodgerson,en,✨✨✨✨✨ @ Shorne Woods Country Park https://t.co/ZAWgICP5tW
807572689909121024,2016-12-10 13:08:27,AlmostSenseless,en,@computerdan @_katarinamarie_ quite beautiful 😊
807572689208614912,2016-12-10 13:08:27,Zacagawea_,en,@beckymarie0112 this is why you're never allowed in my car tbh
807572671277961216,2016-12-10 13:08:23,atlphiI,en,im wasting data watching this but wow george you have talent https://t.co/igPMNg65jw
807572667578613760,2016-12-10 13:08:22,MentalHealthM,en,Another one bites the dust @QueenWillRock
807572646896476160,2016-12-10 13:08:17,MrVicks,en,@KPSWORLD it wasn't that LV MASK is what I'm saying.
807572645273161729,2016-12-10 13:08:17,mcwoeste,en,Feeling nostalgic today. So thankful to have such great friends in London who put up with my… https://t.co/rAjP658K03
807572633269190656,2016-12-10 13:08:14,rolade_,en,"@tifeoratokhai forgive me 😭, let's do it 😬"
807572633235636224,2016-12-10 13:08:14,Andrew_Culture,en,"Tree time! (@ Bourne Garden Centre in Ipswich, Suffolk) https://t.co/Fgk6Cb2AKs https://t.co/5Ljec7bPGI"
807572628689063936,2016-12-10 13:08:13,TJAdethink,en,President Santos convey FARC apologies to their victims and thank those who have accepted apologies as real archite… https://t.co/0pgCQxvJy2
807572594388045824,2016-12-10 13:08:05,ChipTownFC,en,The team is out at South Mimms for a quick stop. We're traveling on the fantastic @EllisonsCoaches for today's… https://t.co/IPzESmyah0
807572571201880065,2016-12-10 13:07:59,vincedemello,en,"@VeryAngryHobbit Oh yes, completely out of touch."
807572564193198080,2016-12-10 13:07:57,davehartin,en,Or... GET IN! @UlsterRugby #ULSvCLE #ChampionsCup
807572563660570624,2016-12-10 13:07:57,aliostad,en,"For all #chess enthusiast, watch live commentary on London Chess Classic  courtesy of @chess24com in 57 minutes 
https://t.co/C70ZclJMtk"
807572557906006016,2016-12-10 13:07:56,MentalHealthM,en,"Just kill the camerman, please @TheSimpsons"
807572522665476096,2016-12-10 13:07:48,101andyhibberd,tl,Sold Lukaku natch @FFPundits
807572511152099328,2016-12-10 13:07:45,melb4886,en,@lfoulkesy @sjblakemore Provost's assistant told me he DIDN'T say there no permanent contacts for researchers &amp; I RT'd that immediately
807572505066172416,2016-12-10 13:07:43,duffbear,en,@StuBennett great to have a chat with you and lock up with you ! https://t.co/Ieg22TZF4a
